date,draw_number,num_1,num_2,num_3,num_4,num_5,num_6,bonus,"May 01, 1993",93/001,Unnamed: 2,1,8,13,24,35,43,33
2025-12-02,25/126,6,18,29,34,37,38,39,,,,,,,,,,
2025-11-25,25/125,1,2,17,35,37,48,8,,,,,,,,,,
2025-11-20,25/124,19,26,33,35,36,39,5,,,,,,,,,,
2025-11-18,25/123,2,4,10,26,28,36,23,,,,,,,,,,
2025-11-16,25/122,2,11,13,28,38,47,7,,,,,,,,,,
2025-11-13,25/121,10,11,28,30,37,39,15,,,,,,,,,,
2025-11-11,25/120,18,20,28,37,38,40,41,,,,,,,,,,
2025-11-08,25/119,7,9,16,17,33,46,49,,,,,,,,,,
2025-11-06,25/118,10,17,22,33,40,41,31,,,,,,,,,,
2025-11-04,25/117,19,20,26,28,39,44,4,,,,,,,,,,
2025-10-28,25/116,4,7,15,21,45,46,24,,,,,,,,,,
2025-10-25,25/115,6,7,27,36,39,43,1,,,,,,,,,,
2025-10-23,25/114,4,19,24,25,26,46,39,,,,,,,,,,
2025-10-21,25/113,1,8,9,11,18,32,13,,,,,,,,,,
2025-10-18,25/112,5,13,17,18,31,44,2,,,,,,,,,,
2025-10-16,25/111,2,11,32,40,43,48,12,,,,,,,,,,
2025-10-14,25/110,3,15,17,24,32,44,20,,,,,,,,,,
2025-10-11,25/109,5,6,18,19,30,39,7,,,,,,,,,,
2025-10-09,25/108,1,3,24,31,39,45,7,,,,,,,,,,
2025-10-06,25/107,15,17,19,23,24,34,33,,,,,,,,,,
2025-09-30,25/106,13,21,33,41,44,46,43,,,,,,,,,,
2025-09-27,25/105,8,14,16,18,26,48,44,,,,,,,,,,
2025-09-25,25/104,2,11,22,27,46,47,32,,,,,,,,,,
2025-09-20,25/103,8,13,17,24,36,43,41,,,,,,,,,,
2025-09-18,25/102,22,33,35,36,37,48,30,,,,,,,,,,
2025-09-16,25/101,14,21,22,28,32,33,25,,,,,,,,,,
2025-09-13,25/100,15,21,23,37,47,49,30,,,,,,,,,,
2025-09-11,25/099,11,21,22,25,32,44,38,,,,,,,,,,
2025-09-10,25/99,9,11,21,22,25,32,44,,,,,,,,,,
2025-09-09,25/098,7,15,32,40,42,44,9,,,,,,,,,,
2025-09-08,25/98,9,7,15,32,40,42,44,,,,,,,,,,
2025-09-06,25/097,6,19,22,23,34,43,11,,,,,,,,,,
2025-09-05,25/97,9,6,19,22,23,34,43,,,,,,,,,,
2025-09-02,25/096,5,18,23,24,29,49,11,,,,,,,,,,
2025-09-01,25/96,25,2,9,5,18,23,24,,,,,,,,,,
2025-08-30,25/095,6,18,31,33,44,49,2,,,,,,,,,,
2025-08-29,25/95,25,30,8,6,18,31,33,,,,,,,,,,
2025-08-28,25/094,5,36,39,44,48,49,32,,,,,,,,,,
2025-08-27,25/94,25,28,8,5,36,39,44,,,,,,,,,,
2025-08-26,25/093,2,3,16,25,38,48,6,,,,,,,,,,
2025-08-25,25/93,26,8,2,3,16,25,38,,,,,,,,,,
2025-08-23,25/092,17,22,26,36,39,45,14,,,,,,,,,,
2025-08-22,25/92,25,23,8,17,22,26,36,,,,,,,,,,
2025-08-21,25/091,6,8,10,23,32,45,3,,,,,,,,,,
2025-08-20,25/91,6,8,10,23,32,45,3,,,,,,,,,,
2025-08-19,25/090,28,32,34,37,45,49,7,,,,,,,,,,
2025-08-18,25/90,25,19,8,28,32,34,37,,,,,,,,,,
2025-08-16,25/089,4,10,15,20,32,38,26,,,,,,,,,,
2025-08-15,25/89,25,16,8,4,10,15,20,,,,,,,,,,
2025-08-14,25/088,1,13,25,27,31,34,33,,,,,,,,,,
2025-08-13,25/88,14,8,1,13,25,27,31,,,,,,,,,,
2025-08-12,25/087,8,16,18,28,29,32,20,,,,,,,,,,
2025-08-11,25/87,8,16,18,28,29,32,20,,,,,,,,,,
2025-08-09,25/086,25,36,44,45,48,49,13,,,,,,,,,,
2025-08-08,25/86,9,8,25,36,44,45,48,,,,,,,,,,
2025-08-07,25/085,3,7,25,29,37,39,8,,,,,,,,,,
2025-08-06,25/85,8,3,7,25,29,37,39,,,,,,,,,,
2025-08-02,25/084,10,14,18,21,34,44,24,,,,,,,,,,
2025-08-01,25/84,25,2,8,10,14,18,21,,,,,,,,,,
2025-07-31,25/083,10,21,23,27,35,47,39,,,,,,,,,,
2025-07-30,25/83,25,31,7,10,21,23,27,,,,,,,,,,
2025-07-29,25/082,9,11,17,28,35,43,42,,,,,,,,,,
2025-07-28,25/82,25,29,7,9,11,17,28,,,,,,,,,,
2025-07-26,25/081,19,22,25,32,33,45,36,,,,,,,,,,
2025-07-25,25/81,26,7,19,22,25,32,33,,,,,,,,,,
2025-07-21,25/080,17,20,28,31,35,48,32,,,,,,,,,,
2025-07-20,25/80,25,21,7,17,20,28,31,,,,,,,,,,
2025-07-19,25/079,6,25,29,40,48,49,42,,,,,,,,,,
2025-07-18,25/79,19,7,6,25,29,40,48,,,,,,,,,,
2025-07-17,25/078,12,19,31,37,42,45,15,,,,,,,,,,
2025-07-16,25/78,25,17,7,12,19,31,37,,,,,,,,,,
2025-07-15,25/077,9,12,23,30,31,44,5,,,,,,,,,,
2025-07-14,25/77,25,15,7,9,12,23,30,,,,,,,,,,
2025-07-12,25/076,5,17,20,24,27,35,38,,,,,,,,,,
2025-07-11,25/76,25,12,7,5,17,20,24,,,,,,,,,,
2025-07-10,25/075,6,13,23,25,32,39,34,,,,,,,,,,
2025-07-09,25/75,10,7,6,13,23,25,32,,,,,,,,,,
2025-07-08,25/074,13,16,17,22,23,35,41,,,,,,,,,,
2025-07-07,25/74,25,8,7,13,16,17,22,,,,,,,,,,
2025-07-06,25/073,5,9,22,33,46,47,36,,,,,,,,,,
2025-07-05,25/73,25,6,7,5,9,22,33,,,,,,,,,,
2025-07-03,25/072,7,17,24,35,37,45,30,,,,,,,,,,
2025-07-02,25/72,7,17,24,35,37,45,30,,,,,,,,,,
2025-06-29,25/071,19,29,32,34,42,46,20,,,,,,,,,,
2025-06-28,25/71,6,19,29,32,34,42,46,,,,,,,,,,
2025-06-26,25/070,9,11,23,24,29,49,30,,,,,,,,,,
2025-06-25,25/70,25,26,6,9,11,23,24,,,,,,,,,,
2025-06-24,25/069,3,21,28,33,45,49,29,,,,,,,,,,
2025-06-23,25/69,25,24,6,3,21,28,33,,,,,,,,,,
2025-06-21,25/068,2,4,19,27,31,39,13,,,,,,,,,,
2025-06-20,25/68,25,21,6,2,4,19,27,,,,,,,,,,
2025-06-19,25/067,7,12,13,18,34,35,6,,,,,,,,,,
2025-06-18,25/67,25,19,6,7,12,13,18,,,,,,,,,,
2025-06-17,25/066,5,19,30,40,44,45,26,,,,,,,,,,
